timestamp_iso,milk_type,adulterant,level_pct,source,temp_c,ph_raw_mv,tds_raw_mv,turbidity_raw_mv,density_g,color_r,color_g,color_b,color_clear
2026-08-17T08:05:56+00:00,cow,pure,0,SYNTHETIC,27.0,1585.7,636.5,1161.1,103.04,873,881,821,2561
2026-08-17T08:05:56+00:00,buffalo,pure,0,SYNTHETIC,25.7,1589.3,644.6,1182.2,102.86,899,898,758,2564
2026-08-17T08:05:56+00:00,toned,pure,0,SYNTHETIC,27.0,1555.6,616.4,1175.0,102.74,907,884,785,2403
2026-08-17T08:05:56+00:00,cow,pure,0,SYNTHETIC,29.3,1579.1,641.5,1147.5,103.03,873,858,815,2537
2026-08-17T08:05:56+00:00,buffalo,pure,0,SYNTHETIC,22.0,1596.8,632.5,1177.6,103.24,901,847,791,2705
2026-08-17T08:05:56+00:00,toned,pure,0,SYNTHETIC,22.7,1596.3,641.5,1166.4,103.92,920,848,791,2644
2026-08-17T08:05:56+00:00,cow,pure,0,SYNTHETIC,23.2,1592.9,639.1,1194.2,103.72,881,885,779,2609
2026-08-17T08:05:56+00:00,buffalo,pure,0,SYNTHETIC,25.5,1569.0,637.5,1199.1,103.61,864,859,805,2444
2026-08-17T08:05:56+00:00,toned,pure,0,SYNTHETIC,27.3,1578.2,656.1,1194.6,103.08,890,873,826,2566
2026-08-17T08:05:56+00:00,cow,pure,0,SYNTHETIC,26.4,1586.7,638.5,1175.8,102.8,899,868,817,2650
2026-08-17T08:05:56+00:00,buffalo,pure,0,SYNTHETIC,29.0,1592.7,635.6,1202.3,103.2,915,845,798,2468
2026-08-17T08:05:56+00:00,toned,pure,0,SYNTHETIC,29.7,1574.2,628.5,1183.5,104.01,877,863,794,2638
2026-08-17T08:05:56+00:00,cow,water,5,SYNTHETIC,26.2,1606.0,486.7,1514.0,101.03,778,770,677,2972
2026-08-17T08:05:56+00:00,buffalo,water,10,SYNTHETIC,25.4,1628.8,481.9,1502.4,101.19,777,723,676,2982
2026-08-17T08:05:56+00:00,toned,water,20,SYNTHETIC,24.9,1626.4,463.2,1520.4,101.1,798,773,667,3060
2026-08-17T08:05:56+00:00,cow,water,5,SYNTHETIC,29.8,1608.7,477.4,1495.7,101.05,805,757,698,2879
2026-08-17T08:05:56+00:00,buffalo,water,10,SYNTHETIC,29.4,1585.3,492.1,1495.8,101.74,780,753,693,2900
2026-08-17T08:05:56+00:00,toned,water,20,SYNTHETIC,27.0,1638.2,476.4,1491.9,100.91,761,808,685,2856
2026-08-17T08:05:56+00:00,cow,water,5,SYNTHETIC,22.9,1595.3,493.5,1460.7,101.33,765,729,715,2947
2026-08-17T08:05:56+00:00,buffalo,water,10,SYNTHETIC,27.1,1595.5,484.4,1485.4,101.35,754,741,728,2905
2026-08-17T08:05:56+00:00,toned,water,20,SYNTHETIC,28.4,1609.3,475.8,1486.3,101.62,772,766,700,3054
2026-08-17T08:05:56+00:00,cow,water,5,SYNTHETIC,23.5,1617.4,474.6,1462.7,101.74,802,766,711,3019
2026-08-17T08:05:56+00:00,buffalo,water,10,SYNTHETIC,26.3,1627.8,475.6,1540.9,100.96,800,781,718,3116
2026-08-17T08:05:56+00:00,toned,water,20,SYNTHETIC,28.8,1587.9,463.8,1522.1,101.04,779,789,665,2763
2026-08-17T08:05:56+00:00,cow,detergent,5,SYNTHETIC,28.4,1350.7,895.6,1260.9,102.29,820,845,776,2566
2026-08-17T08:05:56+00:00,buffalo,detergent,10,SYNTHETIC,27.3,1349.0,907.3,1237.6,102.36,834,827,804,2636
2026-08-17T08:05:56+00:00,toned,detergent,20,SYNTHETIC,22.2,1355.5,936.5,1228.4,102.92,857,849,765,2662
2026-08-17T08:05:56+00:00,cow,detergent,5,SYNTHETIC,22.8,1348.7,901.5,1253.4,103.01,859,793,783,2540
2026-08-17T08:05:56+00:00,buffalo,detergent,10,SYNTHETIC,24.0,1338.9,890.5,1290.2,102.62,829,826,827,2712
2026-08-17T08:05:56+00:00,toned,detergent,20,SYNTHETIC,23.0,1349.1,900.7,1278.3,102.8,865,823,812,2644
2026-08-17T08:05:56+00:00,cow,detergent,5,SYNTHETIC,23.5,1329.4,897.5,1259.8,102.12,904,887,788,2762
2026-08-17T08:05:56+00:00,buffalo,detergent,10,SYNTHETIC,27.4,1307.7,904.5,1258.6,102.63,832,843,795,2796
2026-08-17T08:05:56+00:00,toned,detergent,20,SYNTHETIC,29.2,1349.9,927.5,1247.4,102.46,813,890,823,2774
2026-08-17T08:05:56+00:00,cow,detergent,5,SYNTHETIC,28.2,1351.8,903.9,1254.3,102.53,861,888,813,2695
2026-08-17T08:05:56+00:00,buffalo,detergent,10,SYNTHETIC,25.4,1339.7,928.8,1271.5,102.62,851,821,798,2770
2026-08-17T08:05:56+00:00,toned,detergent,20,SYNTHETIC,29.4,1346.3,896.0,1262.5,102.03,853,828,821,2637
2026-08-17T08:05:56+00:00,cow,starch,5,SYNTHETIC,23.0,1534.3,711.0,914.8,103.38,945,899,756,2230
2026-08-17T08:05:56+00:00,buffalo,starch,10,SYNTHETIC,23.7,1555.2,687.2,902.7,103.72,904,870,809,2140
2026-08-17T08:05:56+00:00,toned,starch,20,SYNTHETIC,22.5,1588.5,693.6,929.2,104.31,934,883,748,2202
2026-08-17T08:05:56+00:00,cow,starch,5,SYNTHETIC,23.0,1578.0,677.0,905.8,103.42,948,894,785,2219
2026-08-17T08:05:56+00:00,buffalo,starch,10,SYNTHETIC,26.1,1559.2,692.9,918.6,103.78,992,915,781,2088
2026-08-17T08:05:56+00:00,toned,starch,20,SYNTHETIC,29.8,1523.6,670.6,934.2,103.86,935,853,771,2155
2026-08-17T08:05:56+00:00,cow,starch,5,SYNTHETIC,24.5,1602.3,693.0,907.1,103.18,938,895,753,2207
2026-08-17T08:05:56+00:00,buffalo,starch,10,SYNTHETIC,27.7,1580.8,704.7,938.0,103.43,954,896,770,2177
2026-08-17T08:05:56+00:00,toned,starch,20,SYNTHETIC,26.8,1533.0,701.0,916.8,103.68,968,853,761,2211
2026-08-17T08:05:56+00:00,cow,starch,5,SYNTHETIC,24.3,1552.9,704.2,923.5,103.16,913,921,790,2074
2026-08-17T08:05:56+00:00,buffalo,starch,10,SYNTHETIC,24.7,1571.2,708.5,913.6,103.49,908,968,775,2304
2026-08-17T08:05:56+00:00,toned,starch,20,SYNTHETIC,25.7,1563.1,666.9,913.7,103.96,904,928,787,2131
